trial.order,MediaName,trial.number,trial.language,trial.speaker,trial.type,target.side
O1,Male_Eng_1,1,english,male,familiarization,full.screen
O1,Fem_Fr_1,2,french,female,familiarization,full.screen
O1,Male_Eng_2,3,english,male,familiarization,full.screen
O1,Fem_Fr_2,4,french,female,familiarization,full.screen
O1,Fem_Fr_3,5,french,female,familiarization,full.screen
O1,Male_Eng_3,6,english,male,familiarization,full.screen
O1,Fem_Fr_4,7,french,female,familiarization,full.screen
O1,Male_Eng_4,8,english,male,familiarization,full.screen
O1,Fem_Fr_Same,9,french,female,test.same,full.screen
O1,Fem_Fr_Switch,10,english,female,test.switch,full.screen
O1,Male_Eng_Same,11,english,male,test.same,full.screen
O1,Male_Eng_Switch,12,french,male,test.switch,full.screen
O2,Male_Eng_1,1,english,male,familiarization,full.screen
O2,Fem_Fr_1,2,french,female,familiarization,full.screen
O2,Male_Eng_2,3,english,male,familiarization,full.screen
O2,Fem_Fr_2,4,french,female,familiarization,full.screen
O2,Fem_Fr_3,5,french,female,familiarization,full.screen
O2,Male_Eng_3,6,english,male,familiarization,full.screen
O2,Fem_Fr_4,7,french,female,familiarization,full.screen
O2,Male_Eng_4,8,english,male,familiarization,full.screen
O2,Fem_Fr_Switch,9,english,female,test.switch,full.screen
O2,Fem_Fr_Same,10,french,female,test.same,full.screen
O2,Male_Eng_Switch,11,french,male,test.switch,full.screen
O2,Male_Eng_Same,12,english,male,test.same,full.screen
O3,Male_Eng_1,1,english,male,familiarization,full.screen
O3,Fem_Fr_1,2,french,female,familiarization,full.screen
O3,Male_Eng_2,3,english,male,familiarization,full.screen
O3,Fem_Fr_2,4,french,female,familiarization,full.screen
O3,Fem_Fr_3,5,french,female,familiarization,full.screen
O3,Male_Eng_3,6,english,male,familiarization,full.screen
O3,Fem_Fr_4,7,french,female,familiarization,full.screen
O3,Male_Eng_4,8,english,male,familiarization,full.screen
O3,Male_Eng_Same,9,english,male,test.same,full.screen
O3,Male_Eng_Switch,10,french,male,test.switch,full.screen
O3,Fem_Fr_Same,11,french,female,test.same,full.screen
O3,Fem_Fr_Switch,12,english,female,test.switch,full.screen
O4,Male_Eng_1,1,english,male,familiarization,full.screen
O4,Fem_Fr_1,2,french,female,familiarization,full.screen
O4,Male_Eng_2,3,english,male,familiarization,full.screen
O4,Fem_Fr_2,4,french,female,familiarization,full.screen
O4,Fem_Fr_3,5,french,female,familiarization,full.screen
O4,Male_Eng_3,6,english,male,familiarization,full.screen
O4,Fem_Fr_4,7,french,female,familiarization,full.screen
O4,Male_Eng_4,8,english,male,familiarization,full.screen
O4,Male_Eng_Switch,9,french,male,test.switch,full.screen
O4,Male_Eng_Same,10,english,male,test.same,full.screen
O4,Fem_Fr_Switch,11,english,female,test.switch,full.screen
O4,Fem_Fr_Same,12,french,female,test.same,full.screen
O5,Male_Fr_1,1,french,male,familiarization,full.screen
O5,Fem_Eng_1,2,english,female,familiarization,full.screen
O5,Male_Fr_2,3,french,male,familiarization,full.screen
O5,Fem_Eng_2,4,english,female,familiarization,full.screen
O5,Fem_Eng_3,5,english,female,familiarization,full.screen
O5,Male_Fr_3,6,french,male,familiarization,full.screen
O5,Fem_Eng_4,7,english,female,familiarization,full.screen
O5,Male_Fr_4,8,french,male,familiarization,full.screen
O5,Fem_Eng_Same,9,english,female,test.same,full.screen
O5,Fem_Eng_Switch,10,french,female,test.switch,full.screen
O5,Male_Fr_Same,11,french,male,test.same,full.screen
O5,Male_Fr_Switch,12,english,male,test.switch,full.screen
O6,Male_Fr_1,1,french,male,familiarization,full.screen
