order,movie_name,trial_number,trial_speaker,trial_lang,fam_type,aoi
O1,Male_Eng_1,1,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_1,2,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_2,3,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_2,4,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_3,5,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_3,6,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_4,7,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_4,8,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_Same,9,female,Fr,Fem_Fr_Male_Eng,full_screen
O1,Fem_Fr_Switch,10,female,Eng,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_Same,11,male,Eng,Fem_Fr_Male_Eng,full_screen
O1,Male_Eng_Switch,12,male,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_1,1,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_1,2,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_2,3,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_2,4,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_3,5,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_3,6,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_4,7,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_4,8,male,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_Switch,9,female,Eng,Fem_Fr_Male_Eng,full_screen
O2,Fem_Fr_Same,10,female,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_Switch,11,male,Fr,Fem_Fr_Male_Eng,full_screen
O2,Male_Eng_Same,12,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_1,1,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_1,2,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_2,3,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_2,4,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_3,5,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_3,6,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Fem_Fr_4,7,female,Fr,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_4,8,male,Eng,Fem_Fr_Male_Eng,full_screen
O3,Male_Eng_Same,9,male,Eng,Fem_Fr_Male_Eng,full_screen
